CLEI,ECI,Country,SER-NUM
C5JAN9J1AB,746122,US,GRINGS00102028980071
C5JAN9J1AB,746122,US,GRINGS00102028980072
C5JAN9J1AB,746122,US,GRINGS00102028980073
C5JAN9J1AB,746122,US,GRINGS00102028980074
C5JAN9J1AB,746122,US,GRINGS00102028980075
C5JAN9J1AB,746122,US,GRINGS00102028980076
C5JAN9J1AB,746122,US,GRINGS00102028980077
C5JAN9J1AB,746122,US,GRINGS00102028980078
C5JAN9J1AB,746122,US,GRINGS00102028980079
C5JAN9J1AB,746122,US,GRINGS00102028980080
C5JANBK1AA,667943,US,GRINGS00102028980081
C5JANBK1AA,667943,US,GRINGS00102028980082
C5JANBK1AA,667943,US,GRINGS00102028980083
C5JANBK1AA,667943,US,GRINGS00102028980084
C5JANBK1AA,667943,US,GRINGS00102028980085
C5JANBK1AA,667943,US,GRINGS00102028980086
C5JANBK1AA,667943,US,GRINGS00102028980087
C5JANBK1AA,667943,US,GRINGS00102028980088
C5JANBK1AA,667943,US,GRINGS00102028980089
C5JANBK1AA,667943,US,GRINGS00102028980090
C5JANBK1AA,667943,US,GRINGS00102028980091
C5JANBK1AA,667943,US,GRINGS00102028980092
C5JANBK1AA,667943,US,GRINGS00102028980093
C5JANBK1AA,667943,US,GRINGS00102028980094
C5JANBK1AA,667943,US,GRINGS00102028980095
C5JANBK1AA,667943,US,GRINGS00102028980096
C5JANBK1AA,667943,US,GRINGS00102028980097
C5JANBK1AA,667943,US,GRINGS00102028980098
C5JANBK1AA,667943,US,GRINGS00102028980099
C5JANBK1AA,667943,US,GRINGS00102028980100
C5JANBK1AB,673859,US,GRINGS00102028980101
C5JANBK1AB,673859,US,GRINGS00102028980102
C5JANBK1AB,673859,US,GRINGS00102028980103
C5JANBK1AB,673859,US,GRINGS00102028980104
C5JANBK1AB,673859,US,GRINGS00102028980105
C5JANBK1AB,673859,US,GRINGS00102028980106
C5JANBK1AB,673859,US,GRINGS00102028980107
C5JANBK1AB,673859,US,GRINGS00102028980108
C5JANBK1AB,673859,US,GRINGS00102028980109
C5JANBK1AB,673859,US,GRINGS00102028980110
C5JANBK1AB,673859,US,GRINGS00102028980111
C5JANBK1AB,673859,US,GRINGS00102028980112
C5JANBK1AB,673859,US,GRINGS00102028980113
C5JANBK1AB,673859,US,GRINGS00102028980114
C5JANBK1AB,673859,US,GRINGS00102028980115
C5JANBK1AB,673859,US,GRINGS00102028980116
C5JANBK1AB,673859,US,GRINGS00102028980117
C5JANBK1AB,673859,US,GRINGS00102028980118
C5JANBK1AB,673859,US,GRINGS00102028980119
C5JANBK1AB,673859,US,GRINGS00102028980120
C5JANBT1AA,677988,US,GRINGS00102028980121
C5JANBT1AA,677988,US,GRINGS00102028980122
C5JANBT1AA,677988,US,GRINGS00102028980123
C5JANBT1AA,677988,US,GRINGS00102028980124
C5JANBT1AA,677988,US,GRINGS00102028980125
C5JANBT1AA,677988,US,GRINGS00102028980126
C5JANBT1AA,677988,US,GRINGS00102028980127
C5JANBT1AA,677988,US,GRINGS00102028980128
C5JANBT1AA,677988,US,GRINGS00102028980129
C5JANBT1AA,677988,US,GRINGS00102028980130
C5JANBT1AA,677988,US,GRINGS00102028980131
C5JANBT1AA,677988,US,GRINGS00102028980132
C5JANBT1AA,677988,US,GRINGS00102028980133
C5JANBT1AA,677988,US,GRINGS00102028980134
C5JANBT1AA,677988,US,GRINGS00102028980135
C5JANBT1AA,677988,US,GRINGS00102028980136
C5JANBT1AA,677988,US,GRINGS00102028980137
C5JANBT1AA,677988,US,GRINGS00102028980138
C5JANBT1AA,677988,US,GRINGS00102028980139
C5JANBT1AA,677988,US,GRINGS00102028980140
C5JANBT1AB,678824,US,GRINGS00102028980141
C5JANBT1AB,678824,US,GRINGS00102028980142
C5JANBT1AB,678824,US,GRINGS00102028980143
C5JANBT1AB,678824,US,GRINGS00102028980144
C5JANBT1AB,678824,US,GRINGS00102028980145
C5JANBT1AB,678824,US,GRINGS00102028980146
C5JANBT1AB,678824,US,GRINGS00102028980147
C5JANBT1AB,678824,US,GRINGS00102028980148
C5JANBT1AB,678824,US,GRINGS00102028980149
C5JANBT1AB,678824,US,GRINGS00102028980150
C5JANBT1AB,678824,US,GRINGS00102028980151
C5JANBT1AB,678824,US,GRINGS00102028980152
C5JANBT1AB,678824,US,GRINGS00102028980153
C5JANBT1AB,678824,US,GRINGS00102028980154
C5JANBT1AB,678824,US,GRINGS00102028980155
C5JANBT1AB,678824,US,GRINGS00102028980156
C5JANBT1AB,678824,US,GRINGS00102028980157
C5JANBT1AB,678824,US,GRINGS00102028980158
C5JANBT1AB,678824,US,GRINGS00102028980159
C5JANBT1AB,678824,US,GRINGS00102028980160
C5JANSJ1AA,746855,US,GRINGS00102028980161
C5JANSJ1AA,746855,US,GRINGS00102028980162
C5JANSJ1AA,746855,US,GRINGS00102028980163
C5JANSJ1AA,746855,US,GRINGS00102028980164
C5JANSJ1AA,746855,US,GRINGS00102028980165
C5JANSJ1AA,746855,US,GRINGS00102028980166
C5JANSJ1AA,746855,US,GRINGS00102028980167
C5JANSJ1AA,746855,US,GRINGS00102028980168
C5JANSJ1AA,746855,US,GRINGS00102028980169
C5JANSJ1AA,746855,US,GRINGS00102028980170
C5JANSJ1AA,746855,US,GRINGS00102028980171
C5JANSJ1AA,746855,US,GRINGS00102028980172
C5JANSJ1AA,746855,US,GRINGS00102028980173
C5JANSJ1AA,746855,US,GRINGS00102028980174
C5JANSJ1AA,746855,US,GRINGS00102028980175
C5JANSJ1AA,746855,US,GRINGS00102028980176
C5JANSJ1AA,746855,US,GRINGS00102028980177
C5JANSJ1AA,746855,US,GRINGS00102028980178
C5JANSJ1AA,746855,US,GRINGS00102028980179
C5JANSJ1AA,746855,US,GRINGS00102028980180
C5JANSJ1AB,860747,US,GRINGS00102028980181
C5JANSJ1AB,860747,US,GRINGS00102028980182
C5JANSJ1AB,860747,US,GRINGS00102028980183
C5JANSJ1AB,860747,US,GRINGS00102028980184
C5JANSJ1AB,860747,US,GRINGS00102028980185
C5JANSJ1AB,860747,US,GRINGS00102028980186
C5JANSJ1AB,860747,US,GRINGS00102028980187
C5JANSJ1AB,860747,US,GRINGS00102028980188
C5JANSJ1AB,860747,US,GRINGS00102028980189
C5JANSJ1AB,860747,US,GRINGS00102028980190
C5JANSJ1AB,860747,US,GRINGS00102028980191
C5JANSJ1AB,860747,US,GRINGS00102028980192
C5JANSJ1AB,860747,US,GRINGS00102028980193
C5JANSJ1AB,860747,US,GRINGS00102028980194
C5JANSJ1AB,860747,US,GRINGS00102028980195
C5JANSJ1AB,860747,US,GRINGS00102028980196
C5JANSJ1AB,860747,US,GRINGS00102028980197
C5JANSJ1AB,860747,US,GRINGS00102028980198
C5JANSJ1AB,860747,US,GRINGS00102028980199
C5JANSJ1AB,860747,US,GRINGS00102028980200
C5JANSK1AA,746854,US,GRINGS00102028980201
C5JANSK1AA,746854,US,GRINGS00102028980202
C5JANSK1AA,746854,US,GRINGS00102028980203
C5JANSK1AA,746854,US,GRINGS00102028980204
C5JANSK1AA,746854,US,GRINGS00102028980205
C5JANSK1AA,746854,US,GRINGS00102028980206
C5JANSK1AA,746854,US,GRINGS00102028980207
C5JANSK1AA,746854,US,GRINGS00102028980208
C5JANSK1AA,746854,US,GRINGS00102028980209
C5JANSK1AA,746854,US,GRINGS00102028980210
C5JANSK1AA,746854,US,GRINGS00102028980211
C5JANSK1AA,746854,US,GRINGS00102028980212
C5JANSK1AA,746854,US,GRINGS00102028980213
C5JANSK1AA,746854,US,GRINGS00102028980214
C5JANSK1AA,746854,US,GRINGS00102028980215
C5JANSK1AA,746854,US,GRINGS00102028980216
C5JANSK1AA,746854,US,GRINGS00102028980217
C5JANSK1AA,746854,US,GRINGS00102028980218
C5JANSK1AA,746854,US,GRINGS00102028980219
C5JANSK1AA,746854,US,GRINGS00102028980220
C5JANSK1AB,860119,US,GRINGS00102028980221
C5JANSK1AB,860119,US,GRINGS00102028980222
C5JANSK1AB,860119,US,GRINGS00102028980223
C5JANSK1AB,860119,US,GRINGS00102028980224
C5JANSK1AB,860119,US,GRINGS00102028980225
C5JANSK1AB,860119,US,GRINGS00102028980226
C5JANSK1AB,860119,US,GRINGS00102028980227
C5JANSK1AB,860119,US,GRINGS00102028980228
C5JANSK1AB,860119,US,GRINGS00102028980229
C5JANSK1AB,860119,US,GRINGS00102028980230
C5JANSK1AB,860119,US,GRINGS00102028980231
C5JANSK1AB,860119,US,GRINGS00102028980232
C5JANSK1AB,860119,US,GRINGS00102028980233
C5JANSK1AB,860119,US,GRINGS00102028980234
C5JANSK1AB,860119,US,GRINGS00102028980235
C5JANSK1AB,860119,US,GRINGS00102028980236
C5JANSK1AB,860119,US,GRINGS00102028980237
C5JANSK1AB,860119,US,GRINGS00102028980238
C5JANSK1AB,860119,US,GRINGS00102028980239
C5JANSK1AB,860119,US,GRINGS00102028980240
